date,x,y,cluster_id
2019-01-01,7.8129916,3.3637822,2
2019-01-02,7.6852417,3.3589242,2
2019-01-03,7.4428205,2.2239268,2
2019-01-04,8.314435,3.1921647,2
2019-01-05,8.307843,3.229017,2
2019-01-06,2.684316,6.314791,1
2019-01-07,8.238713,3.1674209,2
2019-01-08,8.363733,3.3672552,2
2019-01-09,8.424312,3.417202,2
2019-01-10,2.648051,0.1679679,0
2019-01-11,7.918082,1.1655245,2
2019-01-12,7.8932996,1.1563392,2
2019-01-13,4.1666255,1.4545101,2
2019-01-14,2.3861573,4.457164,2
2019-01-15,4.377771,1.6126652,2
2019-01-16,7.9087524,1.1614383,2
2019-01-17,8.188429,0.48912412,2
2019-01-18,8.330213,0.3520127,2
2019-01-19,8.321629,2.8798723,2
2019-01-20,5.800665,0.75524247,2
2019-01-21,8.424974,0.3193112,2
2019-01-22,8.413421,0.31016108,2
2019-01-23,8.456455,0.2912987,2
2019-01-24,8.451255,0.28096688,2
2019-01-25,8.452628,0.28505525,2
2019-01-26,8.4611635,0.2928168,2
2019-01-27,8.918344,0.43051335,2
2019-01-28,5.926987,0.42047566,2
2019-01-29,8.634316,0.26113307,2
2019-01-30,8.459837,0.28443924,2
2019-01-31,8.636666,0.29141688,2
2019-02-01,8.468007,0.29063225,2
2019-02-02,8.47447,0.2921116,2
2019-02-03,8.639072,0.26118758,2
2019-02-04,8.848664,0.36256328,2
2019-02-05,9.071098,0.46842206,2
2019-02-06,8.756378,0.30884737,2
2019-02-07,8.934557,0.36550546,2
2019-02-08,2.4978564,6.3710756,1
2019-02-09,8.455883,3.5448372,2
2019-02-10,8.495097,3.611252,2
2019-02-11,8.508746,3.5397046,2
2019-02-12,8.525435,3.5862389,2
2019-02-13,8.533098,3.563602,2
2019-02-14,8.494004,3.544532,2
2019-02-15,9.796935,2.407431,2
2019-02-16,9.801616,2.3865216,2
2019-02-17,9.784519,2.6051774,2
2019-02-18,2.6733174,6.3859496,1
2019-02-19,8.840697,4.191912,2
2019-02-20,8.862258,4.183673,2
2019-02-21,8.802676,3.6105032,2
2019-02-22,8.858483,4.1988444,2
2019-02-23,8.3765135,4.733976,1
2019-02-24,2.7531369,0.30686745,0
2019-02-25,7.334477,3.2737415,2
2019-02-26,7.944878,1.1777639,2
2019-02-27,7.976695,1.20547,2
2019-02-28,7.994154,1.226,2
2019-03-01,7.9699426,1.193586,2
2019-03-02,7.9877863,1.0862675,2
2019-03-03,8.8515005,1.9409305,2
2019-03-04,6.047863,0.5987795,2
2019-03-05,7.755881,4.045539,2
2019-03-06,8.620318,2.2228642,2
2019-03-07,8.616525,2.2150002,2
2019-03-08,8.583195,2.1788561,2
2019-03-09,8.337559,3.1108754,2
2019-03-10,8.923843,2.243463,2
2019-03-11,8.8352995,2.2077467,2
2019-03-12,9.061281,2.0817435,2
2019-03-13,9.101352,2.061665,2
2019-03-14,9.171635,2.0900528,2
2019-03-15,9.221512,2.3926349,2
2019-03-16,8.834751,3.8498857,2
2019-03-17,9.218525,2.601265,2
2019-03-18,9.045106,2.761189,2
2019-03-19,9.063648,2.8145015,2
2019-03-20,9.12104,2.849369,2
2019-03-21,9.1694145,2.2988114,2
2019-03-22,9.729174,2.4655318,2
2019-03-23,9.795646,2.4337275,2
2019-03-24,9.785919,2.3628523,2
2019-03-25,9.661644,1.8114991,2
2019-03-26,10.622231,2.1896186,2
2019-03-27,9.503578,3.8034914,2
2019-03-28,10.110573,2.6724396,2
2019-03-29,10.108817,3.0426073,2
2019-03-30,9.251504,3.8770392,2
2019-03-31,10.129995,2.7207897,2
2019-04-01,9.930638,3.3954532,2
2019-04-02,1.0638571,6.384683,1
2019-04-03,3.6935723,5.4067593,1
2019-04-04,3.742005,4.9413695,1
2019-04-05,3.728341,5.2662272,1
2019-04-06,3.7357063,5.132879,1
2019-04-07,3.7579684,5.2633166,1
2019-04-08,3.772787,5.243795,1
2019-04-09,6.792556,2.796793,2
2019-04-10,6.9755135,4.0460877,2
2019-04-11,4.386343,0.7983842,2
2019-04-12,6.253965,3.108963,2
2019-04-13,6.2801046,3.029283,2
2019-04-14,6.3260217,3.310019,2
2019-04-15,6.018354,2.2382982,2
2019-04-16,6.3546257,3.5672114,2
2019-04-17,6.256929,3.0404928,2
2019-04-18,6.7426395,3.2899656,2
2019-04-19,6.739409,3.1823225,2
2019-04-20,6.744823,3.287667,2
2019-04-21,6.7957616,2.982381,2
2019-04-22,6.8441916,3.737734,2
2019-04-23,6.9103556,4.076017,2
2019-04-24,6.546205,2.5807638,2
2019-04-25,4.204026,0.66016495,0
2019-04-26,6.0935497,3.3389783,2
2019-04-27,6.1627264,2.8959033,2
2019-04-28,6.215086,2.9804318,2
2019-04-29,6.100137,2.7044137,2
2019-04-30,6.3154206,3.388841,2
2019-05-01,6.2956176,3.0526626,2
2019-05-02,8.96212,4.078648,2
2019-05-03,2.9243371,6.5086436,1
2019-05-04,8.655536,4.4004593,2
2019-05-05,8.972999,3.6314597,2
2019-05-06,8.944586,3.6277976,2
2019-05-07,8.582945,4.4767437,2
2019-05-08,8.530336,4.5840178,2
2019-05-09,8.404901,4.7078915,2
2019-05-10,8.361552,4.7059674,2
2019-05-11,1.1415945,6.4029155,1
2019-05-12,4.0358315,3.9920619,0
2019-05-13,1.1258571,6.447886,1
2019-05-14,3.7756877,5.448636,1
2019-05-15,3.7896013,5.396937,1
2019-05-16,3.7360086,4.338859,0
2019-05-17,2.0774431,0.82251954,0
2019-05-18,2.1534863,2.6582181,0
2019-05-19,1.0866922,6.306444,1
2019-05-20,2.1604671,2.4455512,0
2019-05-21,2.2227697,2.7501771,2
2019-05-22,1.9946856,1.995499,0
2019-05-23,2.6671448,4.7031903,1
2019-05-24,3.6552622,4.7630463,1
2019-05-25,3.8269577,4.7323694,1
2019-05-26,1.7990528,6.146871,1
2019-05-27,4.2017074,4.9683256,1
2019-05-28,4.6194963,3.9966552,2
2019-05-29,4.6055574,4.187702,2
2019-05-30,2.8733363,1.16223,0
2019-05-31,3.2663012,5.3492017,1
2019-06-01,4.599018,3.9486246,2
2019-06-02,6.541224,3.8185346,2
2019-06-03,3.6236868,0.60641986,0
2019-06-04,3.0717146,0.45431218,0
2019-06-05,2.9811037,2.8575265,2
2019-06-06,3.0787675,2.8600278,0
2019-06-07,2.6913695,3.2093124,1
2019-06-08,4.1457067,2.384845,0
2019-06-09,3.8233013,1.0468838,0
2019-06-10,2.1954725,4.761549,1
2019-06-11,5.214966,3.2552,2
2019-06-12,3.20377,3.8464427,2
2019-06-13,5.265846,3.5952876,2
2019-06-14,2.9448552,6.071655,1
2019-06-15,4.3017416,5.0698867,2
2019-06-16,4.428178,5.6899066,1
2019-06-17,4.233166,5.794432,1
2019-06-18,5.297977,4.646681,2
2019-06-19,4.6884594,5.6976256,2
2019-06-20,4.5624447,5.748987,1
2019-06-21,2.5964148,6.642228,1
2019-06-22,2.4452262,6.7355137,1
2019-06-23,4.4494715,5.721064,1
2019-06-24,4.512897,5.688297,2
2019-06-25,2.4851139,6.752479,1
2019-06-26,1.2196162,6.515364,1
2019-06-27,1.936719,0.31579033,0
2019-06-28,1.1452746,6.2545333,1
2019-06-29,2.1840148,2.342067,0
2019-06-30,1.890997,0.821616,0
2019-07-01,1.4136095,2.257685,0
2019-07-02,1.4706478,2.2279067,0
2019-07-03,1.1191261,5.558763,1
2019-07-04,1.9066044,1.126457,0
2019-07-05,1.5494726,2.2024677,0
2019-07-06,1.6648942,2.38385,0
2019-07-07,2.0709164,3.542743,1
2019-07-08,2.4327364,5.0279474,1
2019-07-09,3.3297307,4.8230534,1
2019-07-10,2.2175357,1.3261923,0
2019-07-11,1.9593569,1.2216408,0
2019-07-12,2.4611802,4.7942944,1
2019-07-13,1.9334109,1.3875926,0
2019-07-14,1.8076127,0.49069363,0
2019-07-15,1.2348818,5.2527013,1
2019-07-16,1.6390755,0.2246146,0
2019-07-17,1.4137945,2.1656897,0
2019-07-18,1.0034368,5.548479,1
2019-07-19,1.365687,2.332967,0
2019-07-20,1.4754993,2.3452885,0
2019-07-21,1.2875531,2.6250284,0
2019-07-22,1.206255,2.5316489,0
2019-07-23,1.0618926,2.8099928,0
2019-07-24,1.0120293,2.928664,0
2019-07-25,-0.16605316,2.9946725,0
2019-07-26,-0.1918219,2.9691627,0
2019-07-27,3.695668,0.8047352,0
2019-07-28,-0.1788775,2.9644468,0
2019-07-29,-0.21793126,2.9041405,0
2019-07-30,-0.20721117,2.9513576,2
2019-07-31,1.8487979,3.737176,1
