date,daily_return,open_close_change,high_low_range,volume_zscore,rolling_volatility_7d,rolling_volatility_30d,drawdown_from_30d_high
2019-01-01,,0.0258377492044134,0.0383489748632558,-1.3965003371824014,,,0.0
2019-01-02,0.025989042281366226,0.024470725384821763,0.033921652324977375,-1.3532323285241286,,,0.0
2019-01-03,-0.02704974336321264,-0.023990386033664407,0.027845536849656013,-1.3868182985760886,,,-0.027049743363212638
2019-01-04,0.005467222626216461,0.006700736415232483,0.021419611932592408,-1.3718850088551082,,,-0.021730407705944792
2019-01-05,-0.003246206888826486,-0.0017599540109971773,0.01765404747274394,-1.358272610040779,,,-0.02490607319557918
2019-01-06,0.06018888861446059,0.06258629833486293,0.06953808301210955,-1.3366813873561938,,,0.0
2019-01-07,-0.01260458883210791,-0.01307724871069379,0.01758440319590391,-1.3539951452291084,,,-0.012604588832107919
2019-01-08,0.0013911214837352137,0.000589735344522164,0.027818405875851226,-1.350330903320749,0.02849554331999129,,-0.01123100186269077
2019-01-09,0.0011036105648376537,0.0009287700527764483,0.011345685888236206,-1.3592926598037132,0.027281757012634265,,-0.010139785950162437
2019-01-10,-0.08831366819666353,-0.08811367587276668,0.10035964407514965,-1.2766608250699585,0.04366383045258841,,-0.09755797245483815
2019-01-11,0.0022943982214995717,0.0036336531757053584,0.01655192083178642,-1.3394219940084688,0.04355163420130859,,-0.09548741107183202
2019-01-12,-0.007068584135981104,-0.006962925449756394,0.012250558574245446,-1.3751651408153116,0.04354119319007479,,-0.10188103440872488
2019-01-13,-0.029592732102399433,-0.028947487122602644,0.03548440606499459,-1.3797176601130265,0.032591534320207616,,-0.12845882835355155
2019-01-14,0.04309066731460187,0.04181282138882937,0.04934936069848449,-1.3341267722736343,0.040292940465896265,,-0.09090353767515615
2019-01-15,-0.020338880328643172,-0.01985332645244973,0.02705136342335823,-1.339493455818368,0.04001406833490987,,-0.109393541829574
2019-01-16,0.006701657682214313,0.006470331027309256,0.016825993514878724,-1.3462015715988178,0.04042284117604489,,-0.10342500221734642
2019-01-17,0.006445166852939055,0.007309368378153751,0.015930203266946847,-1.3429135134164938,0.023407804386800568,,-0.09764642676046377
2019-01-18,-0.005633885824214646,-0.005478840460459173,0.01235435742691577,-1.364600658737942,0.02348232740719021,,-0.10273018376516742
2019-01-19,0.019336279435154813,0.02086049996858318,0.02906476811045886,-1.3198252792580867,0.024430513972884548,,-0.08538032386972076
2019-01-20,-0.034210097604695955,-0.0334006643892985,0.04304676709027148,-1.3373646232477008,0.02549199612675539,,-0.11666955226131306
2019-01-21,-0.006937269182559769,-0.006760503249209151,0.013971806169432189,-1.364535552371398,0.018040797226226923,,-0.12279745335442742
2019-01-22,0.007982219951364833,0.00825039968155226,0.02266386124168259,-1.350000503027893,0.017168568046601752,,-0.11579542968520508
2019-01-23,-0.005397055122244532,-0.0056673854554756984,0.01601802556031603,-1.3443546621171512,0.016882092837669282,,-0.12056753049053452
2019-01-24,0.00439104360848841,0.00456555538020992,0.013110510728258255,-1.3523858097499082,0.0167150693125966,,-0.11670590416619779
2019-01-25,-0.0003053736335224544,-0.0021135809861902556,0.010348290127871312,-1.352245829689528,0.016692413401493685,,-0.11697563889371153
2019-01-26,0.0007485431486600191,0.0007625928536829559,0.017108896821675216,-1.3601255391256588,0.01395662520141919,,-0.11631465705810562
2019-01-27,-0.005133888120898322,-0.005748469721802512,0.012601797017351878,-1.3379162072657864,0.0055403082216992135,,-0.12085139874284692
2019-01-28,-0.03167312037855241,-0.031758864247286196,0.04115692261081229,-1.275025957186538,0.013031667305195753,,-0.14869677822110067
2019-01-29,-0.006435330653293936,-0.005982689788613739,0.021691675654249586,-1.3225760989096476,0.011873585395383584,,-0.15417519593946227
2019-01-30,0.01103927096757329,0.012278145456870672,0.01910244869597075,-1.319852478878796,0.013575403204383128,,-0.14483790673634334
2019-01-31,-0.008143269325041613,-0.007923447048647838,0.01632208937986175,-1.3256760745813452,0.013116926942497643,0.025602275573716096,-0.1518017219783557
2019-02-01,0.008720183739189036,0.007917301055614272,0.02033278161101834,-1.3448635892675644,0.01413938511447092,0.025112895043323983,-0.14440527714674317
2019-02-02,0.009494265405179059,0.010455875235444084,0.015988128097275504,-1.3613737606830034,0.015029656829812972,0.02482959125734065,-0.1362820337687038
2019-02-03,-0.01620175471744556,-0.014824843696492208,0.020893330337475598,-1.3626749187959657,0.015832442310468806,0.024903254965165888,-0.15027578040263417
2019-02-04,-0.0014028164443861124,-0.0023239472967283704,0.009701444876419364,-1.3491030809267222,0.010480245660145842,0.024905607508751326,-0.1514677875110785
2019-02-05,0.0020824077305636735,0.0033014923740479706,0.007586556853880785,-1.3540457182615562,0.010154645171177184,0.021880392087089095,-0.14099062629359313
2019-02-06,-0.015171430181290635,-0.015947682520021957,0.020329922445704956,-1.3420781120036986,0.010572875128035375,0.021915528656717965,-0.15402302703185405
2019-02-07,-0.004187789950119369,-0.004526525050739761,0.009876353623304036,-1.3645066199264697,0.010352213254484197,0.021880980823461998,-0.15756580089728248
2019-02-08,0.07863239318839477,0.07802835450204773,0.08954913846775324,-1.2361739328293775,0.032620793243689834,0.026721448499042923,-0.016571530942202494
2019-02-09,0.0012063280354683847,-0.00010413053793596518,0.009092005647253081,-1.3102782141750056,0.03269118657380788,0.02129470284331674,-0.015385193609100343
2019-02-10,0.005171224791767015,0.004624526259895611,0.014716359442762466,-1.3044776985762851,0.031189565847778773,0.02131118970872513,-0.010293529111950748
2019-02-11,-0.011315836951756086,-0.012767130263124081,0.014429323302260499,-1.3047221047120814,0.03198083513279367,0.02137542935946655,-0.021492886166617865
2019-02-12,0.0013972858086190865,0.0029583708873946496,0.01373413011389805,-1.2951663060464265,0.03200321718363979,0.020626775915920735,-0.02012563206282572
2019-02-13,-0.005873228423961097,-0.005893755109366674,0.014369440170443861,-1.2971157724881606,0.031062161672700057,0.019070695843156592,-0.025880658052505282
2019-02-14,-0.004182104127314679,-0.003935179566730201,0.010618846302357255,-1.3050046510745161,0.031061750565428568,0.018715972190579255,-0.02995452657296099
2019-02-15,0.0010865526937218206,0.0009516262719311892,0.010944039583333474,-1.3134214360560184,0.005612581198452928,0.01867506773266244,-0.02890052105077613
2019-02-16,0.00247922555437019,0.0040155598131217905,0.01039231984933699,-1.3208097396003629,0.005744793151885502,0.018640784398012367,-0.026492946406729712
2019-02-17,0.01213530621263259,0.011140325649902165,0.01688663803298428,-1.2688890016710512,0.007460675543552491,0.01874684455023802,-0.014679140211217547
2019-02-18,0.06583804009467542,0.06655403592422389,0.07263845006337641,-1.1340686820293304,0.025114305994719324,0.02201224251200065,0.0
2019-02-19,0.008013895832135631,0.009058263408330684,0.026261555397690924,-1.1328744890485292,0.024841522132608936,0.020950615109656134,0.0
2019-02-20,0.013358199164869689,0.013463323588786128,0.01881059695692501,-1.1911625725903592,0.023653411193975724,0.020937369729020352,0.0
2019-02-21,-0.011426110729454764,-0.011533927386986626,0.017474219794969218,-1.2343173186203442,0.02472115796295737,0.021107483766477815,-0.01142611072945472
2019-02-22,0.013001242029855531,0.013439942795926902,0.014098226968995167,-1.2319018096900436,0.02416247883411725,0.02111341274327932,0.0
2019-02-23,0.03420280463327119,0.035912378848248744,0.04940321660635471,-1.1804057074062682,0.02444607977353585,0.021826290279920765,0.0
2019-02-24,-0.08016830712779921,-0.08081869770402424,0.10057576663465215,-1.0924288840437635,0.04511421797223541,0.02678970811358713,-0.0801683071277992
2019-02-25,0.018966060635805304,0.019882794618931166,0.028028569885802285,-1.1617696460396412,0.037630677427486575,0.026960589034315408,-0.0627227234660495
2019-02-26,-0.007298633937987575,-0.006275136676548032,0.013817146744562773,-1.2269815240534465,0.03749273292101507,0.026985580420401337,-0.06956356720586476
2019-02-27,-0.0008589100836423613,-0.0016675066329701258,0.026375680314162375,-1.2095883937514964,0.036853292485586074,0.026204179512128837,-0.07036272844017989
2019-02-28,0.0009706546704713048,0.0016951646127281613,0.01565305614008353,-1.2049611635573492,0.03677944985128656,0.026139181861314226,-0.06946037168069619
2019-03-01,0.0012447748305945971,0.001511942770438421,0.014558008244414994,-1.2396693362526108,0.03618926938253627,0.026110053688137645,-0.06830205937249341
2019-03-02,0.0012517668104363722,0.002359578005295673,0.011018414283283484,-1.2435447932710086,0.03220888404067633,0.026018970606180466,-0.06713579081306405
2019-03-03,-0.0044610264783262465,-0.003907118667809704,0.009988405699627088,-1.2588295108912604,0.008405527936266246,0.026048469287749378,-0.07129732275092986
