date,ticker,open,high,low,close,volume,daily_return
2019-01-02,MSTR,12.604000091552734,12.901000022888184,12.604000091552734,12.857000350952148,931000,
2019-01-02,QQQ,150.99000549316406,155.75,150.8800048828125,154.8800048828125,58576700,
2019-01-03,MSTR,12.776000022888184,12.869999885559082,12.597000122070312,12.656999588012695,1083000,-0.015555787312756975
2019-01-03,QQQ,152.60000610351562,153.25999450683594,149.49000549316406,149.82000732421875,74820200,-0.03267043775226064
2019-01-04,MSTR,12.744999885559082,13.10200023651123,12.644000053405762,13.039999961853027,1198000,0.030259965734933614
2019-01-04,QQQ,152.33999633789062,157.0,151.74000549316406,156.22999572753906,74709300,0.04278459544758095
2019-01-07,MSTR,13.038999557495117,13.270999908447266,13.038999557495117,13.123000144958496,747000,0.006365044735297198
2019-01-07,QQQ,156.6199951171875,158.86000061035156,156.11000061035156,158.08999633789062,52059300,0.011905528139393606
2019-01-08,MSTR,13.213000297546387,13.265999794006348,12.972000122070312,13.230999946594238,1083000,0.008229810290540263
2019-01-08,QQQ,159.5399932861328,160.11000061035156,157.1999969482422,159.52000427246094,49388700,0.009045530822291425
2019-01-09,MSTR,13.229000091552734,13.41100025177002,13.133999824523926,13.157999992370605,1062000,-0.005517342190181407
2019-01-09,QQQ,160.13999938964844,161.52000427246094,159.47000122070312,160.82000732421875,46491700,0.008149467257644982
2019-01-10,MSTR,13.229999542236328,13.366000175476074,13.135000228881836,13.25100040435791,1207000,0.007067974771335139
2019-01-10,QQQ,159.60000610351562,161.3699951171875,158.6999969482422,161.27999877929688,38943400,0.0028602874899188446
2019-01-11,MSTR,13.17199993133545,13.38599967956543,13.144000053405762,13.38599967956543,938000,0.010187855338312568
2019-01-11,QQQ,160.3300018310547,160.86000061035156,159.7899932861328,160.69000244140625,30176600,-0.0036582114481412686
2019-01-14,MSTR,13.324000358581543,13.350000381469727,13.097999572753906,13.211000442504883,874000,-0.01307330354472469
2019-01-14,QQQ,159.3300018310547,159.9600067138672,158.58999633789062,159.27000427246094,30710200,-0.008836879378747331
2019-01-15,MSTR,13.222000122070312,13.451000213623047,13.222000122070312,13.430999755859375,386000,0.016652736809142032
2019-01-15,QQQ,160.0,162.60000610351562,159.91000366210938,162.3800048828125,40874200,0.019526593375556844
2019-01-16,MSTR,13.449000358581543,13.553999900817871,13.307000160217285,13.383999824523926,1595000,-0.003499362086947011
2019-01-16,QQQ,162.64999389648438,163.77999877929688,162.2899932861328,162.35000610351562,33812200,-0.00018474429360026967
2019-01-17,MSTR,13.359999656677246,13.571999549865723,13.347999572753906,13.48799991607666,1191000,0.0077704791479578095
2019-01-17,QQQ,161.8300018310547,164.36000061035156,161.57000732421875,163.6300048828125,39329000,0.007884192985374794
2019-01-18,MSTR,13.51200008392334,13.765999794006348,12.751999855041504,13.631999969482422,813000,0.01067616060955956
2019-01-18,QQQ,164.77999877929688,166.02000427246094,163.82000732421875,165.25,57183200,0.009900354878970452
2019-01-22,MSTR,13.572999954223633,13.848999977111816,13.52400016784668,13.723999977111816,812000,0.006748826865856206
2019-01-22,QQQ,164.05999755859375,164.13999938964844,160.75999450683594,161.94000244140625,56711700,-0.02003024241206508
2019-01-23,MSTR,13.722999572753906,13.91100025177002,13.612000465393066,13.748000144958496,717000,0.001748773527157299
2019-01-23,QQQ,162.77000427246094,163.50999450683594,160.32000732421875,162.14999389648438,38106100,0.0012967237983962931
2019-01-24,MSTR,13.73900032043457,13.855999946594238,13.545999526977539,13.82800006866455,557000,0.005819022611473601
2019-01-24,QQQ,162.67999267578125,163.44000244140625,162.05999755859375,163.1999969482422,32417800,0.006475504725754977
2019-01-25,MSTR,13.904999732971191,13.98900032043457,13.831999778747559,13.9399995803833,534000,0.00809947289286983
2019-01-25,QQQ,164.50999450683594,165.64999389648438,163.9499969482422,165.14999389648438,36515900,0.011948510935699375
2019-01-28,MSTR,13.821999549865723,14.02299976348877,13.326000213623047,13.85099983215332,827000,-0.006384487152727214
2019-01-28,QQQ,163.02000427246094,163.1199951171875,161.75,163.11000061035156,33491200,-0.01235236670618034
2019-01-29,MSTR,13.847999572753906,13.895999908447266,13.696000099182129,13.82699966430664,1125000,-0.00173273901794202
2019-01-29,QQQ,163.1999969482422,163.24000549316406,160.99000549316406,161.57000732421875,30784200,-0.009441440012079028
2019-01-30,MSTR,12.8100004196167,13.989999771118164,12.53499984741211,12.737000465393066,5633000,-0.07883121612617994
2019-01-30,QQQ,163.39999389648438,166.27999877929688,162.88999938964844,165.67999267578125,41346500,0.025437798881292828
2019-01-31,MSTR,12.593999862670898,12.890000343322754,12.593999862670898,12.689000129699707,2263000,-0.0037685745418458705
2019-01-31,QQQ,166.6999969482422,168.99000549316406,166.47000122070312,168.16000366210938,37258400,0.014968681168288311
2019-02-01,MSTR,12.777000427246094,12.866999626159668,12.70300006866455,12.803999900817871,1581000,0.009062949794522934
2019-02-01,QQQ,167.3300018310547,168.60000610351562,166.99000549316406,167.4499969482422,32143700,-0.004222209196033555
2019-02-04,MSTR,12.699999809265137,13.069000244140625,12.699999809265137,13.005000114440918,1569000,0.01569823611215493
2019-02-04,QQQ,167.47999572753906,169.52999877929688,167.3300018310547,169.52999877929688,26718800,0.012421629554867142
2019-02-05,MSTR,13.0,13.284000396728516,12.954999923706055,13.21500015258789,1655000,0.016147638315957114
2019-02-05,QQQ,169.75999450683594,171.22999572753906,169.69000244140625,171.02999877929688,28156400,0.008847991569638225
2019-02-06,MSTR,13.192999839782715,13.192999839782715,12.8149995803833,12.82699966430664,1892000,-0.029360611714050466
2019-02-06,QQQ,171.07000732421875,171.3699951171875,169.75,170.52000427246094,27970000,-0.0029819008973627215
2019-02-07,MSTR,12.8149995803833,12.958999633789062,12.781999588012695,12.913999557495117,980000,0.0067825598710016255
2019-02-07,QQQ,169.02999877929688,169.4499969482422,166.9499969482422,168.22999572753906,42036200,-0.01342955950941005
2019-02-08,MSTR,12.840999603271484,13.145000457763672,12.840999603271484,13.07800006866455,2667000,0.012699436022068689
2019-02-08,QQQ,166.75999450683594,168.58999633789062,166.57000732421875,168.55999755859375,29020700,0.001961611124267959
2019-02-11,MSTR,13.286999702453613,13.708000183105469,13.286999702453613,13.680000305175781,1149000,0.046031521130944775
2019-02-11,QQQ,169.1699981689453,169.5800018310547,167.97999572753906,168.39999389648438,21434100,-0.000949238635659988
2019-02-12,MSTR,13.809000015258789,14.215999603271484,13.710000038146973,14.211000442504883,1191000,0.03881579864645168
2019-02-12,QQQ,169.6300048828125,171.13999938964844,169.3300018310547,170.88999938964844,29722100,0.014786256433564127
2019-02-13,MSTR,14.255000114440918,14.300000190734863,13.968999862670898,14.043000221252441,1213000,-0.01182184336226988
2019-02-13,QQQ,171.64999389648438,172.16000366210938,170.82000732421875,171.00999450683594,26094100,0.0007021775271582875
2019-02-14,MSTR,14.034000396728516,14.239999771118164,13.982000350952148,14.005999565124512,1192000,-0.00263481133269039
2019-02-14,QQQ,170.39999389648438,171.8300018310547,169.8300018310547,171.22000122070312,30326800,0.0012280376622011424
